anonim_nev,kitoltes_szama,korcsoport,neme,jogositvany_kora,experiment_start_time,block_name,question_text,expected_rule_field,user_answer,correct_answer,is_correct,reaction_time_ms,timestamp
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Alapállapot (Baseline),Mikor haladhat át kormánykerékkel ábrázolt gépkocsijával az ábrán látható útkereszteződésben?,correct_answer,"Az ""A"" és ""B"" jelű járművek után.","Az ""A"" és ""B"" jelű járművek után.",True,917,2026-03-06T08:57:53.885Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Alapállapot (Baseline),Mikor haladhat át kormánykerékkel ábrázolt gépkocsijával az ábrán látható útkereszteződésben?,correct_answer,"A ""B"" jelű jármű után, az ""A"" jelű jármű előtt.","A ""B"" jelű jármű után, az ""A"" jelű jármű előtt.",True,135,2026-03-06T08:57:54.021Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Alapállapot (Baseline),Melyik jármű haladhat tovább elsőként?,correct_answer,"Az ""A"" jelű jármű.","A ""B"" jelű jármű.",False,128,2026-03-06T08:57:54.149Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Alapállapot (Baseline),Melyik kerékpáros részére kell elsőbbséget adni a személygépkocsival?,correct_answer,Mindkettő részére,Csak a jobbról érkező részére.,False,488,2026-03-06T08:57:54.638Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Alapállapot (Baseline),Ön a kormánykerékkel ábrázolt gépkocsit vezeti. Van-e elsőbbségadási kötelezettsége?,correct_answer,Igen.,Nincs.,False,129,2026-03-06T08:57:54.768Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Alapállapot (Baseline),Melyik jármű haladhat tovább elsőként?,correct_answer,"A ""B"" jelű jármű.","Az ""A"" jelű jármű.",False,138,2026-03-06T08:57:54.907Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Alapállapot (Baseline),Mikor haladhat a kormánykerékkel abrázolt gépkocsijával az ábrán látható útkereszteződésben?,correct_answer,"Az ""C"" jelű jármű után, a ""A"" és ""B"" jelű járművek előtt.","Az ""C"" jelű jármű után, a ""A"" és ""B"" jelű járművek előtt.",True,152,2026-03-06T08:57:55.060Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Alapállapot (Baseline),Ön a kormánykerékkel ábrázolt gépkocsit vezeti. Van-e elsőbbségadási kötelezettsége?,correct_answer,Nincs.,Igen.,False,118,2026-03-06T08:57:55.179Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Alapállapot (Baseline),Ön a kormánykerékkel ábrázolt gépkocsit vezeti. Van-e elsőbbségadási kötelezettsége?,correct_answer,Nincs.,Igen.,False,131,2026-03-06T08:57:55.312Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Alapállapot (Baseline),Mikor haladhat át kormánykerékkel ábrázolt gépkocsijával az ábrán látható útkereszteződésben?,correct_answer,"A ""B"" jelű jármű után, az ""A"" jelű jármű előtt.","Az ""A"" jelű jármű után, a ""B"" jelű jármű előtt.",False,221,2026-03-06T08:57:55.533Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Gyakorló blokk,Melyik jármű haladhat tovább elsőként?,rule_shift_answer,"A ""B"" jelű jármű.","Az ""A"" jelű jármű.",False,558,2026-03-06T08:57:57.026Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Gyakorló blokk,Melyik jármű haladhat tovább elsőként?,rule_shift_answer,"Az ""A"" jelű jármű.","Az ""A"" jelű jármű.",True,151,2026-03-06T08:57:57.177Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Gyakorló blokk,Ön a kormánykerékkel ábrázolt gépkocsit vezeti. Van-e elsőbbségadási kötelezettsége?,rule_shift_answer,Nincs.,Igen.,False,149,2026-03-06T08:57:57.327Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Gyakorló blokk,Melyik jármű haladhat tovább elsőként?,rule_shift_answer,"A ""B"" jelű jármű.",Az Ön kormánykerékkel ábrázolt járműve.,False,135,2026-03-06T08:57:57.463Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Gyakorló blokk,Ön a kormánykerékkel ábrázolt gépkocsit vezeti. Van-e elsőbbségadási kötelezettsége?,rule_shift_answer,Nincs.,Igen.,False,130,2026-03-06T08:57:57.594Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Éles teszt (Magas tét),Mikor haladhat át kormánykerékkel ábrázolt gépkocsijával az ábrán látható útkereszteződésben?,rule_shift_answer,"Az ""A"" és ""B"" jelű járművek után.","A ""B"" jelű jármű után, az ""A"" jelű jármű előtt.",False,801,2026-03-06T08:57:59.247Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Éles teszt (Magas tét),Ön a kormánykerékkel ábrázolt gépkocsit vezeti. Van-e elsőbbségadási kötelezettsége?,rule_shift_answer,Igen.,Igen.,True,502,2026-03-06T08:57:59.750Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Éles teszt (Magas tét),Mikor haladhat át kormánykerékkel ábrázolt gépkocsijával az ábrán látható útkereszteződésben?,rule_shift_answer,"Az ""A"" és ""B"" jelű járművek után.","Az ""A"" és ""B"" jelű járművek után.",True,132,2026-03-06T08:57:59.883Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Éles teszt (Magas tét),Melyik jármű haladhat tovább elsőként?,rule_shift_answer,"Az ""A"" jelű jármű.","A ""B"" jelű jármű.",False,141,2026-03-06T08:58:00.025Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Éles teszt (Magas tét),Ön a kormánykerékkel ábrázolt gépkocsit vezeti. Van-e elsőbbségadási kötelezettsége?,rule_shift_answer,Nincs.,Igen.,False,153,2026-03-06T08:58:00.179Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Éles teszt (Magas tét),Mikor haladhat a kormánykerékkel abrázolt gépkocsijával az ábrán látható útkereszteződésben?,rule_shift_answer,"Az ""A"" és ""B"" jelű járművek előtt.","A ""B"" jelű jármű után, az ""A"" jelű jármű előtt.",False,141,2026-03-06T08:58:00.321Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Éles teszt (Magas tét),Mikor haladhat át kormánykerékkel ábrázolt gépkocsijával az ábrán látható útkereszteződésben?,rule_shift_answer,"Az ""A"" jelű jármű után, a ""B"" jelű jármű előtt.","Az ""A"" és ""B"" jelű járművek után.",False,138,2026-03-06T08:58:00.460Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Éles teszt (Magas tét),Mikor haladhat át kormánykerékkel ábrázolt gépkocsijával az ábrán látható útkereszteződésben?,rule_shift_answer,"Az ""A"" és ""B"" jelű járművek előtt.","Az ""A"" jelű jármű után, a ""B"" jelű jármű előtt.",False,127,2026-03-06T08:58:00.588Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Éles teszt (Magas tét),Melyik jármű haladhat tovább elsőként?,rule_shift_answer,"Az ""A"" jelű jármű.","A ""B"" jelű jármű.",False,153,2026-03-06T08:58:00.742Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Éles teszt (Magas tét),Mikor haladhat át kormánykerékkel ábrázolt gépkocsijával az ábrán látható útkereszteződésben?,rule_shift_answer,"Az ""A"" jelű jármű után, a ""B"" jelű jármű előtt.","Az ""A"" és ""B"" jelű járművek után.",False,144,2026-03-06T08:58:00.887Z
sdg,1,26-35 év,,4,2026-03-06T08:53:16.560Z,Alapállapot (Baseline),Ön a kormánykerékkel ábrázolt gépkocsit vezeti. Van-e elsőbbségadási kötelezettsége?,correct_answer,Igen.,Igen.,True,4382,2026-03-06T08:53:22.002Z
sdg,1,26-35 év,,4,2026-03-06T08:53:16.560Z,Alapállapot (Baseline),Ön a kormánykerékkel ábrázolt gépkocsit vezeti. Van-e elsőbbségadási kötelezettsége?,correct_answer,Igen.,Igen.,True,498,2026-03-06T08:53:22.501Z
sdg,1,26-35 év,,4,2026-03-06T08:53:16.560Z,Alapállapot (Baseline),Melyik jármű haladhat tovább elsőként?,correct_answer,Az Ön kormánykerékkel ábrázolt járműve.,"A ""B"" jelű jármű.",False,145,2026-03-06T08:53:22.648Z
sdg,1,26-35 év,,4,2026-03-06T08:53:16.560Z,Alapállapot (Baseline),Melyik jármű haladhat tovább elsőként?,correct_answer,"AZ ""A"" jelű jármű.","AZ ""A"" jelű jármű.",True,142,2026-03-06T08:53:22.790Z
sdg,1,26-35 év,,4,2026-03-06T08:53:16.560Z,Alapállapot (Baseline),Ki haladhat tovább elsőként?,correct_answer,"A ""B"" jelű gyalogos.","A ""B"" jelű gyalogos.",True,131,2026-03-06T08:53:22.922Z
sdg,1,26-35 év,,4,2026-03-06T08:53:16.560Z,Alapállapot (Baseline),Mi a helyes áthaladási sorrend az ábrán látható útkereszteződésben?,correct_answer,"Ön, A, B.","Ön, A, B.",True,674,2026-03-06T08:53:23.597Z
sdg,1,26-35 év,,4,2026-03-06T08:53:16.560Z,Alapállapot (Baseline),Ön a kormánykerékkel ábrázolt gépkocsit vezeti. Van-e elsőbbségadási kötelezettsége?,correct_answer,Igen.,Igen.,True,150,2026-03-06T08:53:23.748Z
sdg,1,26-35 év,,4,2026-03-06T08:53:16.560Z,Alapállapot (Baseline),Mikor haladhat a kormánykerékkel abrázolt gépkocsijával az ábrán látható útkereszteződésben?,correct_answer,"Az ""A"" és ""B"" jelű járművek előtt.","Az ""A"" és ""B"" jelű járművek előtt.",True,151,2026-03-06T08:53:23.900Z
sdg,1,26-35 év,,4,2026-03-06T08:53:16.560Z,Alapállapot (Baseline),Ön a kormánykerékkel ábrázolt gépkocsit vezeti. Van-e elsőbbségadási kötelezettsége?,correct_answer,Igen.,Igen.,True,143,2026-03-06T08:53:24.044Z
sdg,1,26-35 év,,4,2026-03-06T08:53:16.560Z,Alapállapot (Baseline),Melyik jármű haladhat tovább elsőként?,correct_answer,"Az ""A"" jelű jármű.","Az ""A"" jelű jármű.",True,153,2026-03-06T08:53:24.198Z
sdg,1,26-35 év,,4,2026-03-06T08:53:16.560Z,Gyakorló blokk,Mikor haladhat a kormánykerékkel abrázolt gépkocsijával az ábrán látható útkereszteződésben?,rule_shift_answer,"Az ""C"" jelű jármű után, a ""A"" és ""B"" jelű járművek előtt.","Az ""C"" jelű jármű után, a ""A"" és ""B"" jelű járművek előtt.",True,1159,2026-03-06T08:53:26.243Z
sdg,1,26-35 év,,4,2026-03-06T08:53:16.560Z,Gyakorló blokk,Melyik jármű haladhat tovább elsőként?,rule_shift_answer,"A ""B"" jelű jármű.","A ""B"" jelű jármű.",True,4819,2026-03-06T08:53:31.063Z
sdg,1,26-35 év,,4,2026-03-06T08:53:16.560Z,Gyakorló blokk,Melyik jármű haladhat tovább elsőként?,rule_shift_answer,Az Ön kormánykerékkel ábrázolt járműve.,"Az ""A"" jelű jármű.",False,550,2026-03-06T08:53:31.614Z
sdg,1,26-35 év,,4,2026-03-06T08:53:16.560Z,Gyakorló blokk,Mikor haladhat a kormánykerékkel abrázolt gépkocsijával az ábrán látható útkereszteződésben?,rule_shift_answer,Másodikként.,Másodikként.,True,161,2026-03-06T08:53:31.776Z
sdg,1,26-35 év,,4,2026-03-06T08:53:16.560Z,Gyakorló blokk,Mi a helyes áthaladási sorrend az ábrán látható útkereszteződésben?,rule_shift_answer,"A, Ön, B.","A, Ön, B.",True,122,2026-03-06T08:53:31.899Z
sdg,1,26-35 év,,4,2026-03-06T08:53:16.560Z,Éles teszt (Magas tét),Ön a kormánykerékkel ábrázolt gépkocsit vezeti. Van-e elsőbbségadási kötelezettsége?,rule_shift_answer,Igen.,Igen.,True,821,2026-03-06T08:53:33.646Z
sdg,1,26-35 év,,4,2026-03-06T08:53:16.560Z,Éles teszt (Magas tét),Ön a kormánykerékkel ábrázolt gépkocsit vezeti. Van-e elsőbbségadási kötelezettsége?,rule_shift_answer,Igen.,Igen.,True,155,2026-03-06T08:53:33.802Z
sdg,1,26-35 év,,4,2026-03-06T08:53:16.560Z,Éles teszt (Magas tét),Melyik jármű haladhat tovább elsőként?,rule_shift_answer,Az Ön kormánykerékkel ábrázolt járműve.,A kerékpár.,False,173,2026-03-06T08:53:33.976Z
sdg,1,26-35 év,,4,2026-03-06T08:53:16.560Z,Éles teszt (Magas tét),Mikor haladhat át kormánykerékkel ábrázolt gépkocsijával az ábrán látható útkereszteződésben?,rule_shift_answer,"A ""B"" jelű jármű után, az ""A"" jelű jármű előtt.","A ""B"" jelű jármű után, az ""A"" jelű jármű előtt.",True,148,2026-03-06T08:53:34.125Z
sdg,1,26-35 év,,4,2026-03-06T08:53:16.560Z,Éles teszt (Magas tét),Melyik jármű haladhat tovább elsőként?,rule_shift_answer,Ön.,"AZ ""A"" jelű jármű.",False,143,2026-03-06T08:53:34.269Z
sdg,1,26-35 év,,4,2026-03-06T08:53:16.560Z,Éles teszt (Magas tét),Melyik jármű haladhat tovább elsőként?,rule_shift_answer,Az Ön kormánykerékkel ábrázolt járműve.,"Az ""A"" jelű jármű.",False,223,2026-03-06T08:53:34.493Z
sdg,1,26-35 év,,4,2026-03-06T08:53:16.560Z,Éles teszt (Magas tét),Ön a kormánykerékkel ábrázolt gépkocsit vezeti. Van-e elsőbbségadási kötelezettsége?,rule_shift_answer,Nincs.,Nincs.,True,174,2026-03-06T08:53:34.668Z
sdg,1,26-35 év,,4,2026-03-06T08:53:16.560Z,Éles teszt (Magas tét),Melyik jármű haladhat tovább elsőként?,rule_shift_answer,Az Ön kormánykerékkel ábrázolt járműve.,"A ""B"" jelű jármű.",False,167,2026-03-06T08:53:34.836Z
sdg,1,26-35 év,,4,2026-03-06T08:53:16.560Z,Éles teszt (Magas tét),Ön a kormánykerékkel ábrázolt gépkocsit vezeti. Van-e elsőbbségadási kötelezettsége?,rule_shift_answer,Nincs.,Igen.,False,209,2026-03-06T08:53:35.046Z
sdg,1,26-35 év,,4,2026-03-06T08:53:16.560Z,Éles teszt (Magas tét),Mikor haladhat át kormánykerékkel ábrázolt gépkocsijával az ábrán látható útkereszteződésben?,rule_shift_answer,"A ""B"" jelű jármű után, az ""A"" jelű jármű előtt.","Az ""A"" jelű jármű után, a ""B"" jelű jármű előtt.",False,163,2026-03-06T08:53:35.209Z
sdg,1,26-35 év,,4,2026-03-06T08:52:07.807Z,Alapállapot (Baseline),Mikor haladhat át kormánykerékkel ábrázolt gépkocsijával az ábrán látható útkereszteződésben?,correct_answer,"Az ""A"" és ""B"" jelű járművek előtt.","Az ""A"" és ""B"" jelű járművek előtt.",True,1385,2026-03-06T08:52:10.263Z
sdg,1,26-35 év,,4,2026-03-06T08:52:07.807Z,Alapállapot (Baseline),Melyik jármű haladhat tovább elsőként?,correct_answer,"A ""C"" jelű jármű.","A ""C"" jelű jármű.",True,537,2026-03-06T08:52:10.802Z
sdg,1,26-35 év,,4,2026-03-06T08:52:07.807Z,Alapállapot (Baseline),Melyik jármű haladhat tovább elsőként?,correct_answer,Az Ön kormánykerékkel ábrázolt járműve.,"A ""B"" jelű jármű.",False,477,2026-03-06T08:52:11.280Z
sdg,1,26-35 év,,4,2026-03-06T08:52:07.807Z,Alapállapot (Baseline),Mikor haladhat át kormánykerékkel ábrázolt gépkocsijával az ábrán látható útkereszteződésben?,correct_answer,"Az ""A"" és ""B"" jelű járművek után.","Az ""A"" jelű jármű után, a ""B"" jelű jármű előtt.",False,406,2026-03-06T08:52:11.686Z
sdg,1,26-35 év,,4,2026-03-06T08:52:07.807Z,Alapállapot (Baseline),Mikor haladhat át kormánykerékkel ábrázolt gépkocsijával az ábrán látható útkereszteződésben?,correct_answer,"Az ""A"" és ""B"" jelű járművek után.","Az ""A"" és ""B"" jelű járművek után.",True,418,2026-03-06T08:52:12.105Z
sdg,1,26-35 év,,4,2026-03-06T08:52:07.807Z,Alapállapot (Baseline),Ön a kormánykerékkel ábrázolt gépkocsit vezeti. Van-e elsőbbségadási kötelezettsége?,correct_answer,Nincs.,Igen.,False,172,2026-03-06T08:52:12.278Z
sdg,1,26-35 év,,4,2026-03-06T08:52:07.807Z,Alapállapot (Baseline),Mikor haladhat át kormánykerékkel ábrázolt gépkocsijával az ábrán látható útkereszteződésben?,correct_answer,Csak kölcsönös megegyezéssel lehet eldönteni.,"Az ""A"" a ""B""és a ""C"" jelű járművek után.",False,197,2026-03-06T08:52:12.476Z
sdg,1,26-35 év,,4,2026-03-06T08:52:07.807Z,Alapállapot (Baseline),Melyik jármű haladhat tovább elsőként?,correct_answer,Az Ön kormánykerékkel ábrázolt járműve.,"A ""B"" jelű jármű.",False,153,2026-03-06T08:52:12.630Z
sdg,1,26-35 év,,4,2026-03-06T08:52:07.807Z,Alapállapot (Baseline),Melyik jármű haladhat tovább elsőként?,correct_answer,Az Ön kormánykerékkel ábrázolt járműve.,"A ""B"" jelű jármű.",False,186,2026-03-06T08:52:12.817Z
sdg,1,26-35 év,,4,2026-03-06T08:52:07.807Z,Alapállapot (Baseline),Mikor haladhat a kormánykerékkel abrázolt gépkocsijával az ábrán látható útkereszteződésben?,correct_answer,"Az ""A"" jelű jármű után, a ""B"" jelű jármű előtt.","Az ""A"" és ""B"" jelű járművek előtt.",False,191,2026-03-06T08:52:13.009Z
sdg,1,26-35 év,,4,2026-03-06T08:52:07.807Z,Gyakorló blokk,Melyik jármű haladhat tovább elsőként?,rule_shift_answer,Ön.,"AZ ""A"" jelű jármű.",False,949,2026-03-06T08:52:16.338Z
sdg,1,26-35 év,,4,2026-03-06T08:52:07.807Z,Gyakorló blokk,Melyik jármű haladhat tovább elsőként?,rule_shift_answer,"A ""B"" jelű jármű.",Az Ön kormánykerékkel ábrázolt járműve.,False,472,2026-03-06T08:52:16.811Z
sdg,1,26-35 év,,4,2026-03-06T08:52:07.807Z,Gyakorló blokk,Melyik jármű haladhat tovább elsőként?,rule_shift_answer,Az Ön kormánykerékkel ábrázolt járműve.,"Az ""A"" jelű jármű.",False,380,2026-03-06T08:52:17.192Z
sdg,1,26-35 év,,4,2026-03-06T08:52:07.807Z,Gyakorló blokk,Mi a helyes áthaladási sorrend az ábrán látható útkereszteződésben?,rule_shift_answer,"Ön, B, A.","Ön, B, A.",True,384,2026-03-06T08:52:17.577Z
sdg,1,26-35 év,,4,2026-03-06T08:52:07.807Z,Gyakorló blokk,Ön a kormánykerékkel ábrázolt gépkocsit vezeti. Van-e elsőbbségadási kötelezettsége?,rule_shift_answer,Nincs.,Igen.,False,369,2026-03-06T08:52:17.947Z
sdg,1,26-35 év,,4,2026-03-06T08:52:07.807Z,Éles teszt (Magas tét),Mikor haladhat át kormánykerékkel ábrázolt gépkocsijával az ábrán látható útkereszteződésben?,rule_shift_answer,"Az ""A"" és ""B"" jelű járművek után.","Az ""A"" és ""B"" jelű járművek után.",True,798,2026-03-06T08:52:19.699Z
sdg,1,26-35 év,,4,2026-03-06T08:52:07.807Z,Éles teszt (Magas tét),Mikor haladhat át kormánykerékkel ábrázolt gépkocsijával az ábrán látható útkereszteződésben?,rule_shift_answer,"A ""B"" jelű jármű után, az ""A"" jelű jármű előtt.","Az ""A"" és ""B"" jelű járművek előtt.",False,399,2026-03-06T08:52:20.099Z
sdg,1,26-35 év,,4,2026-03-06T08:52:07.807Z,Éles teszt (Magas tét),Ön a kormánykerékkel ábrázolt gépkocsit vezeti. Van-e elsőbbségadási kötelezettsége?,rule_shift_answer,Igen.,Igen.,True,386,2026-03-06T08:52:20.485Z
sdg,1,26-35 év,,4,2026-03-06T08:52:07.807Z,Éles teszt (Magas tét),Melyik jármű haladhat tovább elsőként?,rule_shift_answer,"A ""B"" jelű jármű.","A ""B"" jelű jármű.",True,458,2026-03-06T08:52:20.945Z
sdg,1,26-35 év,,4,2026-03-06T08:52:07.807Z,Éles teszt (Magas tét),Mikor haladhat át kormánykerékkel ábrázolt gépkocsijával az ábrán látható útkereszteződésben?,rule_shift_answer,"Az ""A"" jelű jármű után, a ""B"" jelű jármű előtt.","A ""B"" jelű jármű után, az ""A"" jelű jármű előtt.",False,345,2026-03-06T08:52:21.290Z
sdg,1,26-35 év,,4,2026-03-06T08:52:07.807Z,Éles teszt (Magas tét),Mikor haladhat át kormánykerékkel ábrázolt gépkocsijával az ábrán látható útkereszteződésben?,rule_shift_answer,"Az ""A"" és ""B"" jelű járművek előtt.","Az ""A"" és ""B"" jelű járművek után.",False,376,2026-03-06T08:52:21.667Z
sdg,1,26-35 év,,4,2026-03-06T08:52:07.807Z,Éles teszt (Magas tét),Mikor haladhat át kormánykerékkel ábrázolt gépkocsijával az ábrán látható útkereszteződésben?,rule_shift_answer,"A ""B"" jelű jármű után, az ""A"" jelű jármű előtt.","A ""B"" jelű jármű után, az ""A"" jelű jármű előtt.",True,418,2026-03-06T08:52:22.086Z
sdg,1,26-35 év,,4,2026-03-06T08:52:07.807Z,Éles teszt (Magas tét),Mikor haladhat át kormánykerékkel ábrázolt gépkocsijával az ábrán látható útkereszteződésben?,rule_shift_answer,"Az ""A"" és ""B"" jelű járművek után.","Az ""A"" és ""B"" jelű járművek után.",True,428,2026-03-06T08:52:22.515Z
sdg,1,26-35 év,,4,2026-03-06T08:52:07.807Z,Éles teszt (Magas tét),Melyik jármű haladhat tovább elsőként?,rule_shift_answer,Az Ön kormánykerékkel ábrázolt járműve.,"Az ""A"" jelű jármű.",False,464,2026-03-06T08:52:22.980Z
sdg,1,26-35 év,,4,2026-03-06T08:52:07.807Z,Éles teszt (Magas tét),Melyik jármű haladhat tovább elsőként?,rule_shift_answer,Az Ön kormánykerékkel ábrázolt járműve.,"Az ""A"" jelű jármű.",False,413,2026-03-06T08:52:23.393Z
